Document;Category;Category Title;Marked Text
MMI508HW2TranscriptionDocument.txt;C1;small remark;likes different colors for stone and iron
MMI508HW2TranscriptionDocument.txt;C1;small remark;finding different material sources makes player happy
MMI508HW2TranscriptionDocument.txt;C2;medium remark;likes each island having a unique personality
MMI508HW2TranscriptionDocument.txt;C3;big remark;likes the style of the game(espacially underwater)
